manufacturer,model,part #,core count,core clock,boost clock,tdp,series,microarchitecture,core family,socket,integrated graphics,maximum supported memory,ecc support,packaging,includes cpu cooler,l1 cache,l2 cache,l3 cache,lithography,simultaneous multithreading,prices,rating,reviews
intel,core i5-4570s,bx80646i54570s,4,2.9 ghz,,65 w,intel core i5,haswell,haswell,lga1150,intel hd graphics 4600,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,22 nm,no,$197.06,"(3 Ratings, 5.0 Average)",
amd,athlon x4 845,ad845xackasbx,4,3.5 ghz,3.8 ghz,65 w,amd athlon x4,puma+,carrizo,fm2+,none,,no,boxed,yes,2 x 96 kb instruction 4 x 32 kb data,1 x 1 mb,none,28 nm,no,$163.50,"(4 Ratings, 4.5 Average)","Great CPU for the price. Stays cool on the stock cooler even under load, and doesn't consume much power.,nice CPU beats a x4-860 at stock clocks ,overclocks to a stable 4060mhz @ 106.8 x 38 (well its 105 x 38 but becomes 106.8 x 38 oddly when applied in bios though) ,cool, quite, best bang for buck for 2016. Ideally paired with a GTX 1050 to minimize bottle necking of gpu by cpu,This little guy has taken everything I've thrown at him well including CPU intensive although older total war titles (though it struggled with ROME 2 which has a bad rep. anyway) and my less intensive steam games I don't have on my main pc like AOM:EE and The Forest. And this is without a board capable of tweaking it in any way.,I'm able to play games on it pretty well."
intel,xeon e5-2603,bx80621e52603,4,1.8 ghz,,80 w,intel xeon e5,sandy bridge,sandy bridge-ep,lga2011,none,,yes,boxed,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 10 mb,32 nm,no,$73.06,(0 Ratings),
amd,fx-4130,fd4130frgubox,4,3.8 ghz,,125 w,amd fx,bulldozer,zambezi,am3+,none,,no,boxed,yes,2 x 64 kb instruction 4 x 16 kb data,2 x 2 mb,1 x 4 mb,32 nm,no,,"(12 Ratings, 4.0 Average)",slow but works well enough
intel,,cm8068403358508,6,3.6 ghz,4.3 ghz,95 w,intel core i5,coffee lake,coffee lake,lga1151,intel uhd graphics 630,128 gb,no,oem/tray,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 9 mb,14 nm,no,,(0 Ratings),
intel,xeon e5-2690,cm8062101122501,8,2.9 ghz,3.8 ghz,135 w,intel xeon e5,sandy bridge,sandy bridge-ep,lga2011,none,,yes,oem/tray,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 20 mb,32 nm,yes: hyper-threading,$2355.60,"(1 Rating, 5.0 Average)",A beast of a CPU
amd,a4-3300,,2,2.5 ghz,,65 w,amd a4,k10,llano,fm1,radeon hd 6410d,,no,boxed,yes,2 x 64 kb instruction 2 x 64 kb data,2 x 512 kb,none,32 nm,no,$85.00,(0 Ratings),
amd,,yd299xazuihaf,32,3 ghz,4.2 ghz,250 w,amd threadripper,zen+,colfax,str4,none,1024 gb,yes,oem/tray,no,32 x 64 kb instruction 32 x 32 kb data,32 x 512 kb,8 x 8 mb,12 nm,yes,,(0 Ratings),
intel,core i7-3970x extreme edition,bx80619i73970x,6,3.5 ghz,,150 w,intel core i7 extreme,sandy bridge,sandy bridge-e,lga2011,none,,no,boxed,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 15 mb,32 nm,yes: hyper-threading,$399.94,"(5 Ratings, 4.8 Average)","This bad buy is insane. For it being as old as it is, and still chewing through anything I throw at it, especially as cool as it stays after squeezing out an extra GHz out of it. I say squeeze but really it was a gentle request, no issues at all."
intel,,bx80684i58500,6,3 ghz,4.1 ghz,65 w,intel core i5,coffee lake,coffee lake,lga1151,intel uhd graphics 630,128 gb,no,boxed,yes,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 9 mb,14 nm,no,"$236.00,$292.98",(0 Ratings),
amd,athlon 3000g,yd3000c6m2ofh,2,3.5 ghz,,35 w,amd athlon,zen,raven ridge,am4,radeon vega 3,128 gb,yes,oem/tray,no,2 x 64 kb instruction 2 x 32 kb data,2 x 512 kb,1 x 4 mb,14 nm,yes,,(0 Ratings),
amd,phenom ii x6 1055t,hdt55twfgrbox,6,2.8 ghz,,125 w,amd phenom ii x6,k10,thuban,am3,none,,no,boxed,yes,6 x 64 kb instruction 6 x 64 kb data,6 x 512 kb,1 x 6 mb,45 nm,no,$176.42,(0 Ratings),
intel,,cm8068403874032,8,3.1 ghz,5 ghz,65 w,intel core i9,coffee lake refresh,coffee lake refresh,lga1151,intel uhd graphics 630,128 gb,no,oem/tray,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 16 mb,14 nm,yes: hyper-threading,$449.99,(0 Ratings),
intel,xeon e5-2660 v3,bx80644e52660v3,10,2.6 ghz,3.3 ghz,105 w,intel xeon e5,haswell,haswell-ep,lga2011-3,none,,yes,boxed,no,10 x 32 kb instruction 10 x 32 kb data,10 x 256 kb,1 x 25 mb,22 nm,yes: hyper-threading,$315.07,(0 Ratings),
intel,,bx80684e2146g,6,3.5 ghz,4.5 ghz,80 w,intel xeon e,coffee lake,coffee lake,lga1151,intel hd graphics p630,64 gb,yes,boxed,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 12 mb,14 nm,yes: hyper-threading,"$328.70,$332.99",(0 Ratings),
amd,fx-9370,fd9370fhhkwox,8,4.4 ghz,4.7 ghz,220 w,amd fx,piledriver,vishera,am3+,none,,no,boxed,yes,4 x 64 kb instruction 8 x 16 kb data,4 x 2 mb,1 x 8 mb,32 nm,no,$756.00,"(2 Ratings, 5.0 Average)",
intel,core i5-6400,cm8066201920506,4,2.7 ghz,3.3 ghz,65 w,intel core i5,skylake,skylake-s,lga1151,intel hd graphics 530,64 gb,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,14 nm,no,,"(2 Ratings, 4.5 Average)","Runs games well and keeps up even though its only 2.7 ghz and can be overclocked using some neat tricks, I got mine to 4.4 ghz through a modded z170 bios,fast cpu, never had any problems "
intel,core i5-4690k,cm8064601710803,4,3.5 ghz,3.9 ghz,88 w,intel core i5,haswell refresh,haswell refresh,lga1150,intel hd graphics 4600,,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,22 nm,no,,"(3 Ratings, 5.0 Average)","I bought this when it came out. I had a FX 8350. This one overclocked better and is faster, especially for gaming. ,Processor is fast and runs really cool while running games at ultra settings at 1080p with my hyper 212 Evo."
intel,core i7-6700t,cm8066201920202,4,2.8 ghz,3.6 ghz,35 w,intel core i7,skylake,skylake-s,lga1151,intel hd graphics 530,64 gb,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,14 nm,yes: hyper-threading,,(0 Ratings),
amd,phenom ii x4 830,hdx830wfk4dgm,4,2.8 ghz,,95 w,amd phenom ii x4,k10,deneb,am3,none,,no,oem/tray,no,4 x 64 kb instruction 4 x 64 kb data,4 x 512 kb,1 x 6 mb,45 nm,no,$60.13,"(3 Ratings, 4.3 Average)",
intel,,bx80684i39350k,4,4 ghz,4.6 ghz,91 w,intel core i3,coffee lake refresh,coffee lake refresh,lga1151,intel hd graphics 630,64 gb,yes,boxed,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,14 nm,no,,(0 Ratings),
intel,xeon e3-1225 v3,bx80646e31225v3,4,3.2 ghz,3.6 ghz,84 w,intel xeon e3,haswell,haswell,lga1150,intel hd graphics p4600,,yes,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,22 nm,no,,(0 Ratings),
intel,core i7 extreme i7-990x,bx80613i7990x,6,3.467 ghz,,130 w,intel core i7 extreme,westmere,gulftown,lga1366,none,,no,boxed,yes,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 12 mb,32 nm,yes: hyper-threading,,"(1 Rating, 4.0 Average)","Old, but gold. Can still handle most games despite its age and can take up to a GTX 1070/RTX 2060, but loses out to anything above the i7-3770/R3 1200 or higher, even with OC."
amd,athlon x4 860k with quiet cooler,ad860kxbjasbx,4,3.7 ghz,4 ghz,95 w,amd athlon x4,steamroller,kaveri,fm2+,none,,no,boxed,yes,2 x 96 kb instruction 4 x 16 kb data,2 x 2 mb,none,28 nm,no,$232.50,"(9 Ratings, 4.9 Average)","Cheap, gets the job done.,4 cores @ 3.7GHz at a decent price. What more do you want?,Good multi-core performance for my uses. Works good with DDR3-2400. The stock cooler isn't very good at keeping the X4 860K cool though, unless you run the stock cooler fan at full speed.,This socket is nearly five years old. If you're buying brand-new in 2018, for the love of god pick something newer. However, if you can get this thing used for around $45, it holds up remarkably well, but I'd still recommend (if you're dead-set for whatever reason on this particular chipset) that you bite the extra couple bucks and grab an 880K instead, which supposedly meets the minimum spec for VR gameplay, but this thing will still do you quite a bit of good in a budget gaming PC.,Powerful cpu. i got it to 4.1 on a hyper t2. Not good to buy new in 2017. just get a x4 950 if you want something cheap.,This is an amazing cpu! I paid only £45 for mine and for the price it was the best thing I could find at the time new. This cpu has served me well over these 4 years and have never once had an issue with it, this cpu is also great for overclocking as I have been running mine at 4.6Ghz for these past 3 years and it is still alive and kicking. Although sad to admit, this processor is starting to fall behind in games but this cpu still good enough to play games like the witcher 3 and fallout 4 (to name a few),If you can find this thing for around $50 it's a good deal. Sufficient enough to run most games decently. Don't plan to overclock with the stock cooler though. "
amd,phenom ii x6 1100t black,hde00zfbgrbox,6,3.3 ghz,,125 w,amd phenom ii x6,k10,thuban,am3,none,,no,boxed,yes,6 x 64 kb instruction 6 x 64 kb data,6 x 512 kb,1 x 6 mb,45 nm,no,,"(3 Ratings, 4.7 Average)","Bought as part of a set from my roommate.  Came with CPU/MOBO/RAM/PSU/case all for $200.  Five years later, still running the latest games when paired with a competent GPU.  Got it to a stable OC to 3.7ghz with the Hyper 212.  Definitely got my money's worth!,I'm just basing my rating on the deal that I got for this chip.  Had no idea what a gem this chip was until I actually took the time to look up what it was after I bought it.  Seems to be keeping up with today's AMD chips with some proper overclocking.  Look forward to see how much more I can do with it."
intel,,cm8066002395300,4,3.7 ghz,4 ghz,140 w,intel xeon e5,broadwell,broadwell-ep,lga2011-3,none,1536 gb,yes,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 10 mb,14 nm,yes: hyper-threading,$495.44,(0 Ratings),
intel,pentium g2030,bx80637g2030,2,3 ghz,,55 w,intel pentium,ivy bridge,ivy bridge,lga1155,intel hd graphics,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,22 nm,no,,"(1 Rating, 5.0 Average)",
amd,athlon x4 880k,ad880kxbjcsbx,4,4 ghz,4.2 ghz,95 w,amd athlon x4,steamroller,godavari,fm2+,none,,no,boxed,yes,2 x 96 kb instruction 4 x 16 kb data,2 x 2 mb,none,28 nm,no,,"(5 Ratings, 4.0 Average)","Super great CPU for the price! However, it tends to get a little hot after extensive use.,Runs good Just gets really Warm under load with stock cooler.,Great CPU if you can get it cheap. But it does run very hot with stock cooler.,pretty cheap for 4 cores and a good clock speed,By far the best CPU for the FM2+ socket, after this guy, I will move on to AM4. Works great with the rx570, happy I got this guy so I didnt have to spend $260 on a uphaul to Ryzen. Worth the $81"
amd,a10-5800k,ad580kwohjbox,4,3.8 ghz,,100 w,amd a10,piledriver,trinity,fm2,radeon hd 7660d,,no,boxed,yes,2 x 64 kb instruction 4 x 16 kb data,1 x 4 mb,none,32 nm,no,,"(39 Ratings, 4.7 Average)","A really nice cpu. Fast and seems to be reliable enough. I bought this in 2013 and am just now writing a review. Maybe I will OC it someday but as for now it works fine for a normal every day cpu. Was also hoping to game with it but that really never worked out.,Overall, for an AMD cpu it's really nice.,Outdated 2017,It runs quite hot and Probably should be liquid cooled rather than air cooled, but the be quiet! Pure Rock fan has proven more than up to the task.  If it ran a bit cooler and used a little less power, I'd rate it one star higher.,Powerful little guy with enough processing power for moderate games on medium to high. Plays T2F on max flawlessly. Cheap if you consider power. I'd recommend,great APU for a budget build and runs games like minecraft on stock. great for an all round office build. only con is it can get hot if you plan to overclock it.,Seems to work okay, although i'm sure it is bottle-necking the system it was free and worth it."
intel,core i3-6100,cm8066201927202,2,3.7 ghz,,51 w,intel core i3,skylake,skylake-s,lga1151,intel hd graphics 530,64 gb,yes,oem/tray,no,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,14 nm,yes: hyper-threading,,(0 Ratings),
intel,core i5-4570t,bx80646i54570t,2,2.9 ghz,,35 w,intel core i5,haswell,haswell,lga1150,intel hd graphics 4600,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 4 mb,22 nm,yes: hyper-threading,$184.98,(0 Ratings),
intel,core i5-3470s,bx80637i53470s,4,2.9 ghz,,65 w,intel core i5,ivy bridge,ivy bridge,lga1155,intel hd graphics 2500,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,22 nm,no,$305.27,(0 Ratings),
intel,,cm8067702868219,4,3.8 ghz,4.2 ghz,91 w,intel core i5,kaby lake,kaby lake-s,lga1151,intel hd graphics 630,64 gb,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,14 nm,no,,(0 Ratings),
intel,,bx80684i38300,4,3.7 ghz,,62 w,intel core i3,coffee lake,coffee lake,lga1151,intel uhd graphics 630,64 gb,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,14 nm,no,"$159.99,$214.99","(1 Rating, 5.0 Average)","At the time of purchase it was only $10 more then a I3-8100 for 33% more L3 cache and 100mhz, and worth it giving I don't have time for overclocking and the related stress tests.  And as my PC is only used for Gaming/Entertainment@75hz it is overkill. "
intel,xeon e5-2697 v2,bx80635e52697v2,12,2.7 ghz,3.5 ghz,130 w,intel xeon e5,ivy bridge,ivy bridge-ep,lga2011,none,,yes,boxed,no,12 x 32 kb instruction 12 x 32 kb data,12 x 256 kb,1 x 30 mb,22 nm,yes: hyper-threading,$2004.09,(0 Ratings),
intel,core i7-3770s,,4,3.1 ghz,,65 w,intel core i7,ivy bridge,ivy bridge,lga1155,intel hd graphics 4000,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,22 nm,yes: hyper-threading,$346.99,"(3 Ratings, 4.7 Average)","This is an aging chip, but for what it's worth, it's still amazing. Performance is a tad below that of a new Ryzen 5 2400G in both iGPU and overall CPU tasks, but since it's almost seven years old, that is forgiven."
amd,phenom ii x4 840,hdx840wfk42gm,4,3.2 ghz,,95 w,amd phenom ii x4,k10,deneb,am3,none,,no,oem/tray,no,4 x 64 kb instruction 4 x 64 kb data,4 x 512 kb,none,45 nm,no,$84.94,(0 Ratings),
intel,core i5-760,bx80605i5760,4,2.8 ghz,,95 w,intel core i5,nehalem,lynnfield,lga1156,none,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,45 nm,no,$199.00,"(4 Ratings, 3.8 Average)","Great CPU that undortunately shows its age. But it's amazing how well it's holding up with a decent overclock after all. All in all, it serves me well.
I got this CPU in a bundle. ,It's a solid CPU. 4 cores is all I needed. It does not have an integrated CPU, but I don't need it.,Can't go wrong with this one. It plays older games pretty well, and stays pretty cool under a lot of pressure, but that might be because of the included stock cooler."
amd,amd a8-7670k,ad767kxbjcsbx,4,3.6 ghz,3.9 ghz,95 w,amd a8,steamroller,godavari,fm2+,radeon r7 (on-die),,no,boxed,yes,2 x 96 kb instruction 4 x 16 kb data,2 x 2 mb,none,28 nm,no,$109.55,(0 Ratings),
amd,a8-6600k,ad660kwohlbox,4,3.9 ghz,,100 w,amd a8,piledriver,richland,fm2,radeon hd 8570d,,no,boxed,yes,2 x 64 kb instruction 4 x 16 kb data,2 x 1 mb,none,32 nm,no,,"(21 Ratings, 4.6 Average)","Great Possessor, powerful and fast. doesn't overheat easily. ,Where do I start off, its has fairly strong integrated graphics on it, its a quad core, I haven't ran into a game it can't play yet at least 25FPS with the integrated graphics overclock and the ram overclocked, I get around 60FPS at 720P in skyrim on high settings with a ENB installed, I'm not even sure how that is possible, its the little cpu that could. My only complaint is that is impossible to get a accurate temperature reading on the igpu, according to HWMonitor it runs at -7C.,Overclocked it to 4.1 ghz for him, runs great"
intel,,cm8068403874122,8,2.1 ghz,4.4 ghz,35 w,intel core i9,coffee lake refresh,coffee lake refresh,lga1151,intel uhd graphics 630,128 gb,no,oem/tray,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 16 mb,14 nm,yes: hyper-threading,,(0 Ratings),
intel,,bx80677i77700t,4,2.9 ghz,3.8 ghz,35 w,intel core i7,kaby lake,kaby lake-s,lga1151,intel hd graphics 630,64 gb,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,14 nm,yes: hyper-threading,"$339.90,$499.98",(0 Ratings),
amd,3850,sd3850jahmbox,4,1.3 ghz,,25 w,amd sempron,jaguar,kabini,am1,radeon hd 8280,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,1 x 2 mb,none,28 nm,no,$71.38,"(1 Rating, 3.0 Average)",You can get more for your money like a celeron G1890 but the quad core is ok for editing in Premiere Elements but I will be replacing this with a ryzen chip. Overall I do recommend it if you want a cool chip on the AM1 platform. 
intel,core i5-3340,bx80637i53340,4,3.1 ghz,3.3 ghz,77 w,intel core i5,ivy bridge,ivy bridge,lga1155,intel hd graphics 2500,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,22 nm,no,$172.02,"(1 Rating, 4.0 Average)",
intel,xeon e3-1230 v2,bx80637e31230v2,4,3.3 ghz,,69 w,intel xeon e3,ivy bridge,ivy bridge,lga1155,none,,yes,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,22 nm,yes: hyper-threading,$199.95,"(6 Ratings, 5.0 Average)",
intel,,cm8066002044306,6,3.6 ghz,4 ghz,140 w,intel xeon e5,broadwell,broadwell-ep,lga2011-3,none,1536 gb,yes,oem/tray,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 15 mb,14 nm,yes: hyper-threading,$726.26,(0 Ratings),
intel,,cd8067304126200,10,3.5 ghz,4.4 ghz,165 w,intel core i9,skylake,skylake-x,lga2066,none,128 gb,no,boxed,no,10 x 32 kb instruction 10 x 32 kb data,10 x 1 mb,1 x 19.25 mb,14 nm,yes: hyper-threading,$975.00,(0 Ratings),
amd,athlon ii x2 240,adx240ock23gq,2,2.8 ghz,,65 w,amd athlon ii x2,k10,regor,am3,none,,no,oem/tray,no,2 x 64 kb instruction 2 x 64 kb data,2 x 1 mb,none,45 nm,no,$29.49,(0 Ratings),
amd,5350,ad5350jahmbox,4,2.05 ghz,,25 w,amd athlon,jaguar,kabini,am1,radeon hd 8400,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,1 x 2 mb,none,28 nm,no,$104.98,"(26 Ratings, 4.7 Average)","Amazing CPU, Amazing power draw and amazing performance,Cheap CPU, nice performance for light Ubuntu/Windows 10 instances. The included heatsink is an absolute pain to put on, and I needed to retry about 3 times (which requires almost breaking the mounting hardware) to successfully mount every time I built this system.,Nice APU, surprisingly capable for the price,Good processor for general web browsing.,Great processor, stock cooler is quiet, and it has surprisingly good performance for the price.,Top notch for the price and quality. Does EXACTLY what you want it to do for an HTPC or just casual ""grandparents"" computer.,Good temp and holds a decent gaming load,I haven't really pushed the CPU much at all so far, but even with only a 200mm case fan, its temperature is so low that the thermal sensor runs into the issue I've seen described elsewhere where it reports it as lower than it really is.  I've never seen it reported as more than 17 degrees Celsius and change; I know it's still actually higher than that, though.,Its single-threaded passmark score is a little bit higher than the single-threaded score the dual-core Celeron 2955U on my Acer C720 Chromebook got, and that was sufficient for web browsing and such, so with double the cores, I know the AMD 5350 will be plenty powerful.,Cheap and works with no problems. AMD is going away with support for AM1 so you might want skip this and go for their budget line releasing in late 2015,Great value.  Recommended for an HTPC build or a casual everyday PC."
intel,xeon e3-1230,bx80623e31230,4,3.2 ghz,,80 w,intel xeon e3,sandy bridge,sandy bridge,lga1155,none,,yes,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,32 nm,yes: hyper-threading,$418.35,(0 Ratings),
intel,intel intel core i9-9960x 16-core 3.1 ghz lga 2066 165w cd8067304126500 desktop processor - oem,cd8067304126500,16,3.1 ghz,4.4 ghz,165 w,intel core i9,skylake,skylake-x,lga2066,none,128 gb,no,oem/tray,no,16 x 32 kb instruction 16 x 32 kb data,16 x 1 mb,1 x 22 mb,14 nm,yes: hyper-threading,"$1599.00,$1890.00",(0 Ratings),
intel,atom d2700,df8064101055647,2,2.133 ghz,,10 w,intel atom,saltwell,cedarview-d,bga559,none,,no,oem/tray,no,1 x 32 kb instruction 1 x 24 kb data,2 x 512 kb,none,32 nm,yes: hyper-threading,$100.00,(0 Ratings),
intel,core i7-4960x extreme edition,bx80633i74960x,6,3.6 ghz,4 ghz,130 w,intel core i7 extreme,ivy bridge,ivy bridge-e,lga2011,none,,no,boxed,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 15 mb,22 nm,yes: hyper-threading,$1006.54,"(7 Ratings, 5.0 Average)","Got a silicon lottery winner CPU that only needed 1.28V load Vcore for 4.4Ghz. This CPU also gets big wins for 1866mhz stock memory speed support, and PCI-E 3.0 support for my Pascal GPUs."
amd,sempron 145,sdx145hbgmbox,1,2.8 ghz,,45 w,amd sempron,k10,sargas,am3,none,,no,boxed,yes,1 x 64 kb instruction 1 x 64 kb data,1 x 1 mb,none,45 nm,no,$59.99,"(3 Ratings, 4.0 Average)","Great little cpu, for what it is. Out of deferral to the beasts out there I can only go 3 stars but that's really not fair. Even odds on most of these that they're actually an Athlon X2; mine is, but my board can't unlock the 2nd core. No real loss there though; it's just for a backup/htpc and the most use it ever gets is some light web browsing. It's great in that niche."
intel,core 2 quad q8400,bx80580q8400,4,2.66 ghz,,95 w,intel core 2 quad,core,yorkfield,lga775,none,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,2 x 2 mb,none,45 nm,no,$235.34,(0 Ratings),
intel,core 2 quad q9650,at80569pj080n,4,3 ghz,,95 w,intel core 2 quad,core,yorkfield,lga775,none,,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,2 x 6 mb,none,45 nm,no,$103.18,(0 Ratings),
intel,celeron 847,av8062700852800,2,1.1 ghz,,17 w,intel celeron,sandy bridge,sandy bridge,bga1023,intel hd graphics,,no,oem/tray,no,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 2 mb,32 nm,no,,(0 Ratings),
intel,xeon e3-1270 v2,cm8063701098301,4,3.5 ghz,,69 w,intel xeon e3,ivy bridge,ivy bridge,lga1155,none,,yes,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,22 nm,yes: hyper-threading,,(0 Ratings),
intel,core i3-4330,bx80646i34330,2,3.5 ghz,,54 w,intel core i3,haswell,haswell,lga1150,intel hd graphics 4600,,yes,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 4 mb,22 nm,yes: hyper-threading,$395.28,"(17 Ratings, 4.7 Average)",Does all it needs to. Low end processor but fine for my needs
intel,xeon e5-1660 v3,cm8064401909200,8,3 ghz,3.5 ghz,140 w,intel xeon e5,haswell,haswell-ep,lga2011-3,none,,yes,oem/tray,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 20 mb,22 nm,yes: hyper-threading,$404.44,(0 Ratings),
intel,xeon e5-2698 v4,cm8066002024000,20,2.2 ghz,3.6 ghz,135 w,intel xeon e5,broadwell,broadwell-ep,lga2011-3,none,1536 gb,yes,oem/tray,no,20 x 32 kb instruction 20 x 32 kb data,20 x 256 kb,1 x 50 mb,14 nm,yes: hyper-threading,,(0 Ratings),
intel,core i5-6600,cm8066201920401,4,3.3 ghz,3.9 ghz,65 w,intel core i5,skylake,skylake-s,lga1151,intel hd graphics 530,64 gb,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,14 nm,no,,(0 Ratings),
amd,,yd297xazuhcaf,24,3 ghz,4.2 ghz,250 w,amd threadripper,zen+,colfax,str4,none,1024 gb,yes,oem/tray,no,24 x 64 kb instruction 24 x 32 kb data,24 x 512 kb,8 x 8 mb,12 nm,yes,,(0 Ratings),
intel,,cm8068404225303,8,3.4 ghz,5 ghz,80 w,intel xeon e,coffee lake refresh,coffee lake refresh,lga1151,intel hd graphics p630,128 gb,yes,oem/tray,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 16 mb,14 nm,yes: hyper-threading,,(0 Ratings),
intel,xeon e3-1240 v3,bx80646e31240v3,4,3.4 ghz,3.8 ghz,80 w,intel xeon e3,haswell,haswell,lga1150,none,,yes,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,22 nm,yes: hyper-threading,,"(4 Ratings, 4.8 Average)","Almost the same as a 4770K, minus overclocking and Intel HD Graphics. Very good for gaming, and equally as good for hosting servers or editing video/3D modeling."
intel,pentium g630,bx80623g630,2,2.7 ghz,,65 w,intel pentium,sandy bridge,sandy bridge,lga1155,intel hd graphics,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,32 nm,no,$90.00,(0 Ratings),
intel,xeon e5-2660 v3,cm8064401446117,10,2.6 ghz,3.3 ghz,105 w,intel xeon e5,haswell,haswell-ep,lga2011-3,none,,yes,oem/tray,no,10 x 32 kb instruction 10 x 32 kb data,10 x 256 kb,1 x 25 mb,22 nm,yes: hyper-threading,$359.95,(0 Ratings),
intel,xeon e5-2640 v4,bx80660e52640v4,10,2.4 ghz,3.4 ghz,90 w,intel xeon e5,broadwell,broadwell-ep,lga2011-3,none,1536 gb,yes,boxed,no,10 x 32 kb instruction 10 x 32 kb data,10 x 256 kb,1 x 25 mb,14 nm,yes: hyper-threading,"$971.62,$992.99,$1004.07",(0 Ratings),
intel,,bx80673i97960x,16,2.8 ghz,4.4 ghz,165 w,intel core i9,skylake,skylake-x,lga2066,none,128 gb,no,boxed,no,16 x 32 kb instruction 16 x 32 kb data,16 x 1 mb,1 x 22 mb,14 nm,yes: hyper-threading,"$1579.00,$1599.00",(0 Ratings),
intel,,bx80677g4620,2,3.7 ghz,,51 w,intel pentium,kaby lake,kaby lake-s,lga1151,intel hd graphics 630,64 gb,yes,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,14 nm,yes: hyper-threading,$197.99,"(6 Ratings, 4.8 Average)","Does its job and runs well with the system. As a starter Gaming PC I am pleased with the performance.,Good processor is good. The cpu cooler (push pins) was a breeze to install.,So I'll admit, I ended up with this guy because I couldn't get my hands on a G4560 in a timely manner. I'm looking at it as paying $30 for a .2GHz overclock. I know, I know, a 6% performance boost for $30 is a small fraction of what that money could have gotten me in a better GPU, but I honestly doubt I'll ever take full advantage of the 1050 Ti as it is.,This is a great, affordable CPU. It works well in a low to mid range gaming computer. It would be great for a desktop computer as well. 
One downside is that Intel's Optane NVMe memory modules with super fast cache will not work with it. The sites often say that they require 7th generation chips (Kaby Lake chip), but the Intel site excludes Pentium chips with this technology. Get an i3 if you want to boost an HDD.
However, that is not a huge problem get a regular SSD if HDD load times bother you.,Wasn't the processor I was originally gonna buy. But I'm happy with it so far does what I need it to do,This CPU is amazing for what it has. It certainly isn't the best and doesn't score very high but it does its job perfectly."
